state,transfer_based_exclusion,verified_recycler_exclusion,chemical_product_exclusion,universal_waste_regulation,epr,recycling_bonds
ID,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
UT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AZ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NM,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
OK,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ND,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SD,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AR,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
WI,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MI,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
OH,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
KY,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NJ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
WV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
GA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
VA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AZ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HI,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ME,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
